120,"This comes before ""Claudius"" & ""the Jury"" in literary works",I,I,E,U,E,"A, E, I, O, U",3,"{""question_id"":385658,""invalid_context"":true,""spelling"":false,""invalid_choices"":false,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 09:18:57,2024-07-17 09:18:57
128,What country does the island of Mykonos belong to?,Greece,Greece,Salisbury,Devil,California,GEOGRAPHY,3,"{""question_id"":691529,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Salisbury,\nCanada,\nCalifornia""}",2024-07-17 09:22:14,2024-07-17 09:22:14
130,"Emergent: Now there's ""H.E. Turbo"" Tide, H.E. short for this type of washer",high-efficiency,high-efficiency,All,Dreft,the collar,THE DETERGENT SERIES,3,"{""question_id"":592477,""invalid_context"":true,""spelling"":false,""invalid_choices"":false,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 09:22:56,2024-07-17 09:22:56
137,"""Over the Edge of the World"" charts this 16th century explorer's ""Terrifying Circumnavigation of the World""",Magellan,Magellan,the Big Bang,Sapiens,pearls,SUBTITLED NONFICTION,3,"{""question_id"":678284,""invalid_context"":true,""spelling"":false,""invalid_choices"":false,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 09:25:52,2024-07-17 09:25:52
1,This Maine college was the alma mater of both Henry Wadsworth Longfellow & Nathaniel Hawthorne,Bowdoin College,Bowdoin College,Leif Ericson,Massachusetts,Massachusetts,THE MAINE EVENT,4,"{""question_id"":404411,""invalid_context"":true,""spelling"":false,""invalid_choices"":false,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 08:12:38,2024-07-17 08:12:38
2,Helping us fight bankrupted this country & sent it into internal revolution,France,France,Bonhomme Richard,George Washington,Paul Revere,AMERICAN REVOLUTION,4,"{""question_id"":92217,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 08:12:55,2024-07-17 08:12:55
3,"In an unannounced December 1991 speech at Columbia Univ., this author said, ""Free speech is life itself""",Salman Rushdie,Salman Rushdie,Michael Jackson,Salman Rushdie,5,IN THE NEWS,4,"{""question_id"":137070,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 08:13:02,2024-07-17 08:13:02
4,"Flannery O'Connor was born in this city, Georgia's major seaport, in 1925",Savannah,Savannah,Thomas Hardy,(James) Barrie,Ibsen,AUTHORS' BIRTHPLACES,4,"{""question_id"":264436,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 08:13:25,2024-07-17 08:13:25
5,"According to its initials, you take the MCAT if you're pursuing a career in this",medicine,medicine,Saint Elizabeth Ann Seton,Duke,a Pell Grant,EDUCATION,4,"{""question_id"":59321,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 08:13:36,2024-07-17 08:13:36
6,"According to the book ""Harvesters"", in ancient Rome pigeon droppings were highly prized as this",fertilizer,fertilizer,plowing,fixation,a hog,FARMING,4,"{""question_id"":131525,""invalid_context"":true,""spelling"":false,""invalid_choices"":false,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 08:14:22,2024-07-17 08:14:22
7,"In 1995 ""Streets Of"" this won Song of the Year, Best Rock Song, Best Male Rock Vocal & Best Song Written Specifically for Movies or TV",Philadelphia,Philadelphia,"""Rehab""","""Rehab""",Ed Sheeran,GRAMMY-WINNING SONGS,4,"{""question_id"":679278,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 08:15:24,2024-07-17 08:15:24
8,"Its restoration included adding an elevator & replacing the torch, & it had to be completed by July 4, 1986",the Statue of Liberty,the Statue of Liberty,"""Old Ironsides""","""Old Ironsides""",The Last Supper,NIP/TUCK,4,"{""question_id"":508321,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 08:15:53,2024-07-17 08:15:53
9,"The puma is also known as the catamount & this other ""c""at",the cougar,the cougar,a cheetah,the cougar,a cheetah,"""C"" AS IN CAT",4,"{""question_id"":664319,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""The cougar,\nCheetah,\nDog,\nGoat,""}",2024-07-17 08:16:42,2024-07-17 08:16:42
10,"""The Day the Rope Broke"" is a famous book about an 1865 climbing accident on this peak",the Matterhorn,the Matterhorn,the Jungfrau,Heidi,tourism,THE ALPS,4,"{""question_id"":232158,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 08:17:08,2024-07-17 08:17:08
11,1961: This man hits his 61st homer of the season,(Roger) Maris,(Roger) Maris,Louisiana,Disney World,(Roger) Maris,1-Oct,4,"{""question_id"":479097,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 08:17:21,2024-07-17 08:17:21
13,In Scotland Which Soup Is Traditionally Served On Burns Night,Cock-A-Leekie,Cock-A-Leekie,Cougettes,Rum,Cocaine,FOOD_AND_DRINKS,4,"{""question_id"":689937,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Cocaine is not a soup""}",2024-07-17 08:19:39,2024-07-17 08:19:39
14,Most of these Myanmar cats are descended from a female named Wong Mau,Burmese,Burmese,white,Tabby,Pembroke,CATS & DOGS,4,"{""question_id"":101706,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 08:19:53,2024-07-17 08:19:53
15,A sea creature is depicted chomping on a hockey stick on the logo of this San Jose team,the Sharks,the Sharks,Chicago Blackhawks,the Sharks,Chicago Blackhawks,NHL LOGOS,4,"{""question_id"":373672,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Shark,\nWhale,\nWarlus,\nTuna,""}",2024-07-17 08:22:03,2024-07-17 08:22:03
16,"3 of the 4 continents which appeared in the titles of John Gunther's ""Inside..."" books","Africa, Asia & Europe","Africa, Asia & Europe",Australia,Dean Koontz,Artemis,BOOKS & AUTHORS,4,"{""question_id"":102665,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Africa, Asia & Europe,\nNorth America,\nAntarctica,\nSouth America""}",2024-07-17 08:22:59,2024-07-17 08:22:59
17,In November 1609 the British seized this Henry Hudson ship but later returned it to the Dutch East India Co.,The Half Moon,The Half Moon,steamship,Magellan,(Samuel) Cunard,SHIPS,4,"{""question_id"":44337,""invalid_context"":true,""spelling"":false,""invalid_choices"":false,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 08:23:10,2024-07-17 08:23:10
18,"In Feb. 1942 radio address he said, ""Never before have we had so little time in which to do so much""",Franklin Delano Roosevelt,Franklin Delano Roosevelt,Will Rogers,"something old, something new, something borrowed, something blue","""You may fire when ready, Gridley""",FAMOUS QUOTES,4,"{""question_id"":30044,""invalid_context"":true,""spelling"":false,""invalid_choices"":false,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 08:26:27,2024-07-17 08:26:27
19,"In the story that inspired ""Blade Runner"", Philip K. Dick didn't use ""replicant""�his term was ""andy"", short for this",android,android,translate (alien languages),android,Frank Herbert,SCI-FI TECH,4,"{""question_id"":644219,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 08:27:36,2024-07-17 08:27:36
20,The ruthless Cesare Borgia was the model for this book by Machiavelli,"""The Prince""","""The Prince""",Multiplication,the lute,Flemish,THE RENAISSANCE,4,"{""question_id"":118478,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 08:27:49,2024-07-17 08:27:49
22,"In 1944 this victorious running mate sent FDR a telegram reading, ""Isolationism is dead""",Harry S. Truman,Harry S. Truman,8-Nov,1860,Dwight D. Eisenhower,ELECTION DAY,4,"{""question_id"":366301,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 08:30:04,2024-07-17 08:30:04
23,"Pushing the CC button on your car activates this, perfect for long trips on the open highway",cruise control,cruise control,cruise control,closed caption,cruise control,C & C ALLITERATION FACTORY,4,"{""question_id"":635466,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Check car,\nClosed caption,\nCar control,""}",2024-07-17 08:31:06,2024-07-17 08:31:06
25,"Following gall bladder surgery in February, this pop artist passed away",Andy Warhol,Andy Warhol,(Jos� NapoleÃ�n) Duarte,Andy Warhol,Colin Powell,1987,4,"{""question_id"":205601,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Duarte,\nChris Brown,\nCollins Powell""}",2024-07-17 08:32:10,2024-07-17 08:32:10
29,Mounts that Moses summited include Sinai & this one from which he got a look at the promised land,Pisgah,Pisgah,the Nile,the Nile,let my people go,HOLY MOSES!,4,"{""question_id"":607182,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Camel,\nKenya,\nEverest""}",2024-07-17 08:36:42,2024-07-17 08:36:42
31,"On March 23, 1957, the army held public sale of their last of these outmoded means of communication",homing pigeons,homing pigeons,buzzards,Florence Nightingale,Florence Nightingale,HAPPY BIRD DAYS,4,"{""question_id"":176681,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Buzzards,\nHawks,\nEagle,""}",2024-07-17 08:38:57,2024-07-17 08:38:57
34,I like a good glass of wine or 2; you are this type of 10-letter nondrinker,a teetotaler,a teetotaler,a teetotaler,yoga,The African Queen,I'M JUST NOT THAT INTO YOU,4,"{""question_id"":625529,""invalid_context"":false,""spelling"":false,""invalid_choices"":false,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Addict,\nYoga,\nPeasant,""}",2024-07-17 08:40:06,2024-07-17 08:40:06
36,It's the 3-letter definition for measuring film speed,ISO/ASA,ISO/ASA,Lenses,Lenses,ISO/ASA,POPULAR PHOTOGRAPHY,4,"{""question_id"":347451,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""RAM,\nROM,\nSSD,""}",2024-07-17 08:40:37,2024-07-17 08:40:37
38,"Hampton Creek, maker of ""Just Mayo"", convinced the FDA to let it keep the name, though J.M. doesn't contain these",eggs,eggs,Hellmann's,eggs,garlic,MUSTARD OR MAYO,4,"{""question_id"":656791,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Hellman's,\nGinger,\nGarlic,""}",2024-07-17 08:41:30,2024-07-17 08:41:30
40,"Idiomatically, when you ""take someone's"" this, you're evaluating them",measure,measure,a mensch,measure,meander,BEYOND ME,4,"{""question_id"":661685,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""a mensch,\nLook,\nMeander,""}",2024-07-17 08:42:29,2024-07-17 08:42:29
44,"In this novel, Mrs. Bennet tries to find husbands for her 5 daughters","""Pride and Prejudice""","""Pride and Prejudice""","""Pride and Prejudice""","""Emma""",Sensibility,JANE AUSTEN,4,"{""question_id"":317308,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Power and punishment,\nEmma,\nSensibility,""}",2024-07-17 08:43:53,2024-07-17 08:43:53
46,"Riding shotgun on the kidneys, these glands weigh barely 5 grams each, but produce vital hormones",the adrenal glands,the adrenal glands,the adrenal glands,a calf muscle,a flexor,THE BODY OF EVIDENCE,4,"{""question_id"":582354,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Gall bladder,\nA calf muscle,\nA flexor,""}",2024-07-17 08:44:33,2024-07-17 08:44:33
47,"Violinist Isaac Stern helped save this NYC hall from the wrecking ball, & its main auditorium is now named for him",Carnegie Hall,Carnegie Hall,second fiddle,second fiddle,second fiddle,FIDDLER,4,"{""question_id"":635217,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 08:45:02,2024-07-17 08:45:02
48,This 49ers legend had a record 17 seasons with 50 or more receptions,Jerry Rice,Jerry Rice,Peyton Manning,Jerry Rice,Emmitt Smith,NFL RECORDS,4,"{""question_id"":524839,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Peyton Manning,\nLebron James,\nEmmitt Smith,""}",2024-07-17 08:45:53,2024-07-17 08:45:53
49,Statues of Kamehameha I & of this Belgian priest represent Hawaii in the U.S. Capitol's Statuary Hall,Father Damien,Father Damien,Nelson,Russia,Nelson,STATUES,4,"{""question_id"":225503,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Nelson,\nJames,\nPutin,""}",2024-07-17 08:46:39,2024-07-17 08:46:39
50,"The right of ""hot"" this allows a nation to chase a boat from its own waters into the high seas",pursuit,pursuit,cut and run,cut and run,hands,NAUTICAL WORDS & PHRASES,4,"{""question_id"":663869,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Hit and run,\nCut and run,\nHands,""}",2024-07-17 08:47:18,2024-07-17 08:47:18
54,Canada's longest river is named for this explorer who traveled on it in 1789,Mackenzie,Mackenzie,Ben Franklin,Mackenzie,(Captain) Cook,THE 18th CENTURY WORLD,4,"{""question_id"":461705,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Ben Franklin,\nAbraham Lincoln, \nCaptain cook,""}",2024-07-17 08:50:44,2024-07-17 08:50:44
58,"If Melville's Bartleby moved from New York to London, he'd join the company of these",Scriveners,Scriveners,Fishmongers,Scriveners,Carpenters,LONDON'S CITY GUILDS,4,"{""question_id"":307987,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Fishmongers,\nScammers,\nCarpenters,""}",2024-07-17 08:51:29,2024-07-17 08:51:29
59,"These are found in Rome, though they sound like they should be in Madrid",the Spanish Steps,the Spanish Steps,step up to the plate,step up to the plate,step brothers,"""STEP"" BY STEP",4,"{""question_id"":653501,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Eiffel tower,\nVatican,\nSpenzia,""}",2024-07-17 08:52:31,2024-07-17 08:52:31
60,Purists screamed but many 9-to-5ers were pleased when Wrigley Field added these in 1988,lights,lights,Confines,Harry Caray,Confines,WRIGLEY FIELD,4,"{""question_id"":410630,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Confines,\nHarry carat,\nSnakes,""}",2024-07-17 08:53:11,2024-07-17 08:53:11
62,"About being a distant cousin of this politician from Wyoming, Barack Obama said, ""That's a heartbreak""",Dick Cheney,Dick Cheney,Elvis Presley,Dick Cheney,Dick Cheney,IT'S ALL POLITICALLY RELATIVE,4,"{""question_id"":495956,""invalid_context"":true,""spelling"":false,""invalid_choices"":false,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 08:53:23,2024-07-17 08:53:23
63,The chinchilla,rodent,rodent,rodent,Carnivore,monotremes,GIVE THE ORDER,4,"{""question_id"":542739,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Reptile,\nCarnivore,\nMonotremes,""}",2024-07-17 08:54:15,2024-07-17 08:54:15
64,"They could've called themselves David, Stephen & Graham when they formed in Lauren Canyon but went by these 3 last names","Crosby, Stills & Nash","Crosby, Stills & Nash",ABBA,ABBA,Motley Crue,BAND/NAMES,4,"{""question_id"":564600,""invalid_context"":false,""spelling"":false,""invalid_choices"":false,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Migos,\nABBA,\nMotley crew,""}",2024-07-17 08:54:53,2024-07-17 08:54:53
66,"""Vice Principals"", ""Room 104""",HBO,HBO,Food Network,PBS,Food Network,TV NETWORKING,4,"{""question_id"":628110,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Glovo,\nPBS,\nFood network,""}",2024-07-17 08:55:39,2024-07-17 08:55:39
67,"""A View To A Kill""",Duran Duran,Duran Duran,Duran Duran,Dire Straits,Duran Duran,ON THEIR LIVE AID SETLIST,4,"{""question_id"":626563,""invalid_context"":true,""spelling"":false,""invalid_choices"":false,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 08:58:00,2024-07-17 08:58:00
68,You'll find the Isle of Skye in the Inner these,the Hebrides,the Hebrides,Guernsey,the Hebrides,Bermuda,OTHER BRITISH ISLES,4,"{""question_id"":477107,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Guernsey,\nSuez canal,\nBermuda,""}",2024-07-17 08:58:37,2024-07-17 08:58:37
69,Roots that descend from branches can give one of these tropical & subtropical trees the appearance of a thicket,banyan trees,banyan trees,balsa,basil,banyan trees,"GETTING A ""BA"" IN BOTANY",4,"{""question_id"":677931,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Balsa,\nBasil,\nEucalyptus,""}",2024-07-17 08:59:41,2024-07-17 08:59:41
70,"(Cheryl of the Clue Crew reports from the Theater of Dionysus in Athens, Greece.) When this man introduced his play ""Medea"" in a contest held here at the Theater of Dionysus in 431 B.C., he came in la",Euripides,Euripides,The Frogs,The Frogs,Thespis,ANCIENT GREEK THEATRE,4,"{""question_id"":441394,""invalid_context"":true,""spelling"":false,""invalid_choices"":false,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 09:00:14,2024-07-17 09:00:14
71,"In an 1874 cartoon Thomas Nast drew this creature scaring other animals, including an elephant",a donkey,a donkey,a donkey,men and women,the hammer & sickle,A CLASH OF SYMBOLS,4,"{""question_id"":568221,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""A lion,\nMen and women,\nA goat,""}",2024-07-17 09:00:50,2024-07-17 09:00:50
73,"""No man is good 3 times"" was the Republican slogan in the election campaign against this man",FDR,FDR,FDR,FDR,FDR,ELECTION SLOGANS,4,"{""question_id"":199762,""invalid_context"":true,""spelling"":false,""invalid_choices"":false,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 09:01:08,2024-07-17 09:01:08
77,"The farthest galaxy from Earth ever detected is about 77 sextillion miles away, or a mere 13.1 billion of these",light years,light years,light years,clusters,clusters,OF THE GALAXY,4,"{""question_id"":590006,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Moon years,\nRevolutions,\nClusters,""}",2024-07-17 09:02:25,2024-07-17 09:02:25
79,"These 2 mountain families get their feud on at cliffside amphitheatre in Beaver, West Virginia",the Hatfields & McCoys,the Hatfields & McCoys,The Last of the Mohicans,Virginia,The Last of the Mohicans,OUTDOOR DRAMAS,4,"{""question_id"":564552,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 09:02:49,2024-07-17 09:02:49
80,"In this film, Annette Bening is asked out by widower Michael Douglas, who happens to be the commander-in-chief",The American President,The American President,Jane Fonda and Robert Redford,Jane Fonda and Robert Redford,The American President,ON-SCREEN ROMANCES,4,"{""question_id"":627430,""invalid_context"":true,""spelling"":false,""invalid_choices"":false,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 09:03:33,2024-07-17 09:03:33
83,"Yellowcake, a compound of this element, is the raw stuff for commercial nuclear materials",uranium,uranium,uranium,uranium,uranium,"HERE'S LOOKING AT ""U""",4,"{""question_id"":683280,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Nuclear,\nCarbon,\nOxygen,""}",2024-07-17 09:04:01,2024-07-17 09:04:01
84,"Fidel's efforts to export revolution to this continent cost the lives of more than 4,000 Cubans, half in Angola",Africa,Africa,Africa,Pope John Paul II,Pope John Paul II,CASTRO'S CUBA: 1959-2016,4,"{""question_id"":616856,""invalid_context"":true,""spelling"":false,""invalid_choices"":false,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 09:04:19,2024-07-17 09:04:19
86,"Ricky Martin sang,""She's into superstitions, black cats and voodoo dolls"", & no doubt she's livin' this",La Vida Loca,La Vida Loca,La Vida Loca,"(In my own) ""Private Idaho""",(upstairs from you) on the second floor,LIVING LYRICS,4,"{""question_id"":476967,""invalid_context"":true,""spelling"":false,""invalid_choices"":false,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 09:04:27,2024-07-17 09:04:27
91,To reside,dwell,dwell,dwell,a get well card,a get well card,"THAT ENDED ""WELL""",4,"{""question_id"":634532,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Stay,\nAccommodate,\nLive""}",2024-07-17 09:05:18,2024-07-17 09:05:18
92,"By winning a coin toss in 1845, F. Pettygrove got this city named after his hometown in Maine",Portland,Portland,Salem,Portland,Eugene,OREGON,4,"{""question_id"":149367,""invalid_context"":true,""spelling"":false,""invalid_choices"":false,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 09:05:25,2024-07-17 09:05:25
